Distribution,Founder,Maintainer,Initial release year,Current stable version,Security updates (years),Release date,System distribution commitment,Forked from,Target audience,Cost,Status
Gentoo,260 (Minimal) 2.048 (Live DVD),up to 128,Yes,Yes,Yes,Yes
gNewSense[198],1.200,512,?,?,Yes,?
Grml,460,32 to 128,Yes,No,Yes,Yes
Guix[199],1.375,366,No,Yes,Yes,Yes
Hyperbola GNU/Linux-libre,660 and 688,?,Yes,Yes,Yes,Yes
Knoppix CD,700,128 to 320,Yes,Yes,Only DVD edition is maintained,[empty]
Knoppix DVD,4.813,128 to 500,No,Yes,[empty],[empty]
LibreCMC,?,?,No,No,No,No
Mandriva Linux One,700,128 to 768,Yes,Yes,Yes,Yes
Manjaro Linux,473 to 2.200[200],256 to 1.024,Yes,Yes,Yes,Yes
MEPIS,700 to 4.000,128 to 512,Yes,Yes,Yes,Yes
Musix GNU+Linux,2.000,?,No,Yes,Yes,Yes
Nanolinux,18,?64,Yes,Yes,Yes,Yes
openGEU,700,192 to 512,Yes,[empty],Yes,[empty]
openSUSE (Not 42.1),700,128 to 768,Yes,Yes,Yes,Yes
OpenWrt,min 4,min 16,No,No,No,No
Parabola GNU/Linux-libre,400 to 3.300,?,Yes,Yes,Yes,Yes
Pardus,1.256 to 1.276,256 to 1.024,Yes,Yes,Yes,Yes
PCLinuxOS,130 to 700,96 to 512,Yes,Yes,Yes,Yes
Pentoo,666 and 700,48 to 96,Yes,Yes,By hand[201],By hand
Porteus,224 to 373,min 36,?,?,Yes,Yes
Puppy Linux (Slacko),235,32 to 192,Yes,Yes,Yes,Yes
Puredyne,542,[empty],Yes,Yes,Yes,Yes
Sabayon Linux Live CD,695,[empty],Yes,Yes,Yes,Yes
Sabayon Linux Live DVD,2.400,[empty],No,Yes,Yes,Yes
Scientific Linux,431 to 2.300[202],640,Yes,Yes,Yes,Yes
Slackware,2.600,64 to 1.024[203],Yes,Yes,Yes,Yes
Slax,200,96 to 320,Yes,Yes,[empty],Yes
Solus,1.200,1.024,No,Yes,Yes,Yes
SystemRescueCD,459,[empty],Yes,Yes,Yes,Yes
SliTaz GNU/Linux,35,24 to 192,Yes,Yes,Yes,Yes
Tails,?900,?1.024,No,Yes,Yes,Yes (when run from DVD)
Tiny Core Linux,16,46,Yes,Yes,Yes,Yes
Tiny SliTaz,64,4,Yes,Yes,By SliTaz,By SliTaz
Tor-ramdisk,5,256 or >[204],Yes,Yes,Yes,Yes
Trisquel,1.500[205],384,Yes,Yes,Yes,Yes
TurnKey GNU/Linux Core (base) appliance ISO,212,~173,Yes,Yes,Yes,Yes
Ubuntu,1.700[206],384,Yes,Yes,Yes,Yes
Ututo,3.500,?,No,Yes,Yes,?
Edubuntu,2.900[207],[empty],Yes,Yes,Yes,[empty]
Kubuntu,1.400[208],384,Yes,Yes,Yes,Yes
XBMC Live,700,256 to 1.024,Yes,No,Yes,Yes
Zentyal,600,256,Yes,Yes,Yes,Yes
Xubuntu,1.200[209],256,Yes,Yes,Yes,Yes
Distribution,Size of media (MB),RAM use (MB),Boots from CD,Boots from DVD,Installable live CD/DVD,Installable from USB
Distribution,Compile time buffer checks,Mandatory access control,Software executable space protection,grsecurity,RSBAC
Alpine Linux,Yes[210],Unknown,PaX,Discontinued in 3.8.0,Unknown
BLAG,Unknown,Unknown,Unknown,Unknown,Unknown
Debian/Ubuntu,Yes,SELinux  AppArmor,PaX optional,Optional,Optional
Dragora GNU/Linux-Libre,Unknown,Unknown,Unknown,Unknown,Unknown
dyne:bolic,Unknown,Unknown,Unknown,Unknown,Unknown
Fedora,Yes,SELinux[211],Exec Shield[212],No,No
Gentoo,Optional,SELinux  AppArmor,PaX optional,Optional,Optional
gNewSense,Unknown,SELinux  AppArmor[f],Unknown,Unknown,Unknown
Guix System Distribution,Unknown,Unknown,Unknown,Unknown,Unknown
LibreCMC,Unknown,Unknown,Unknown,Unknown,Unknown
Mandriva,Unknown,AppArmor,Unknown,Unknown,Yes
Musix GNU+Linux,Unknown,Unknown,Unknown,Unknown,Unknown
Parabola GNU/Linux-libre,Unknown,Optional[213],Unknown,Optional[213],Unknown
Slackware,Unknown,AppArmor  tomoyo,Unknown,Unknown,Optional
SUSE Linux,Yes,AppArmor[214],Hardware NX and other methods in mainline kernel and toolchain[215],No,No
Solus,Yes,AppArmor,Unknown,No,Unknown
Tor-ramdisk,Unknown,Unknown,PaX,Yes,No
Trisquel,Unknown,SELinux  AppArmor[g],Unknown,Unknown,Unknown
Ututo,Unknown,Unknown,Unknown,Unknown,Unknown
